year,lat,lon,temperature_c,scenario,temperature_f,anomaly_c,anomaly_f
1944,34.3979057591623,241.25,18.885992,historical,65.99478,0.0028381348,0.0051086424
1945,34.3979057591623,241.25,18.937515,historical,66.087524,0.054361343,0.09785042
1946,34.3979057591623,241.25,18.318308,historical,64.97295,-0.56484604,-1.0167229
1947,34.3979057591623,241.25,17.979052,historical,64.36229,-0.9041023,-1.6273842
1948,34.3979057591623,241.25,18.452219,historical,65.214,-0.4309349,-0.7756828
1949,34.3979057591623,241.25,18.944153,historical,66.09947,0.060998917,0.10979805
1950,34.3979057591623,241.25,18.691977,historical,65.64555,-0.19117737,-0.34411925
1951,34.3979057591623,241.25,18.473627,historical,65.25253,-0.40952682,-0.7371483
1952,34.3979057591623,241.25,19.722923,historical,67.50127,0.83976936,1.5115849
1953,34.3979057591623,241.25,18.564878,historical,65.41678,-0.31827545,-0.5728958
1954,34.3979057591623,241.25,19.06479,historical,66.31662,0.18163681,0.32694626
1955,34.3979057591623,241.25,19.178116,historical,66.52061,0.29496193,0.5309315
1956,34.3979057591623,241.25,19.434702,historical,66.98247,0.551548,0.9927864
1957,34.3979057591623,241.25,18.824692,historical,65.884445,-0.058462143,-0.10523186
1958,34.3979057591623,241.25,19.27851,historical,66.70132,0.39535522,0.7116394
1959,34.3979057591623,241.25,18.120882,historical,64.617584,-0.7622719,-1.3720894
1960,34.3979057591623,241.25,18.7096,historical,65.67728,-0.17355347,-0.31239623
1961,34.3979057591623,241.25,19.515799,historical,67.12843,0.63264465,1.1387603
1962,34.3979057591623,241.25,18.44147,historical,65.19464,-0.44168472,-0.7950325
1963,34.3979057591623,241.25,18.159845,historical,64.68772,-0.72330856,-1.3019555
1964,34.3979057591623,241.25,18.079908,historical,64.54384,-0.80324554,-1.445842
1965,34.3979057591623,241.25,17.306303,historical,63.151344,-1.5768509,-2.8383317
1966,34.3979057591623,241.25,18.11206,historical,64.60171,-0.77109337,-1.3879681
1967,34.3979057591623,241.25,18.00865,historical,64.41557,-0.8745041,-1.5741074
1968,34.3979057591623,241.25,18.537191,historical,65.36694,-0.34596252,-0.6227325
1969,34.3979057591623,241.25,18.873362,historical,65.97205,-0.009792328,-0.01762619
1970,34.3979057591623,241.25,17.718803,historical,63.89385,-1.1643505,-2.095831
1971,34.3979057591623,241.25,18.449118,historical,65.20841,-0.43403625,-0.78126526
1972,34.3979057591623,241.25,18.044395,historical,64.47991,-0.83875847,-1.5097653
1973,34.3979057591623,241.25,18.123978,historical,64.62316,-0.75917625,-1.3665173
1974,34.3979057591623,241.25,18.817205,historical,65.87097,-0.06594849,-0.11870728
1975,34.3979057591623,241.25,18.455408,historical,65.219734,-0.42774582,-0.76994246
1976,34.3979057591623,241.25,17.420332,historical,63.356598,-1.462822,-2.6330795
1977,34.3979057591623,241.25,19.031183,historical,66.256134,0.14802933,0.2664528
1978,34.3979057591623,241.25,18.562424,historical,65.41236,-0.3207302,-0.5773144
1979,34.3979057591623,241.25,18.047956,historical,64.48632,-0.83519745,-1.5033554
1980,34.3979057591623,241.25,18.413376,historical,65.14407,-0.46977806,-0.8456005
1981,34.3979057591623,241.25,18.095041,historical,64.571075,-0.78811264,-1.4186027
1982,34.3979057591623,241.25,17.939873,historical,64.29177,-0.9432812,-1.6979061
1983,34.3979057591623,241.25,17.285263,historical,63.113472,-1.5978909,-2.8762035
1984,34.3979057591623,241.25,18.950312,historical,66.110565,0.067157745,0.12088394
1985,34.3979057591623,241.25,18.449663,historical,65.2094,-0.43349075,-0.78028333
1986,34.3979057591623,241.25,18.042746,historical,64.476944,-0.8404083,-1.512735
1987,34.3979057591623,241.25,18.221008,historical,64.79781,-0.6621456,-1.1918621
